Date,Ro
24/1/2020,7.95
25/1/2020,9.65
26/1/2020,8.70
27/1/2020,6.85
28/1/2020,17.84
29/1/2020,2.25
30/1/2020,5.98
31/1/2020,3.74
1/2/2020,3.86
2/2/2020,7.09
3/2/2020,3.41
4/2/2020,3.68
5/2/2020,2.98
6/2/2020,2.38
7/2/2020,2.41
8/2/2020,1.91
9/2/2020,1.94
10/2/2020,1.73
11/2/2020,1.52
12/2/2020,1.10
13/2/2020,5.98
14/2/2020,2.29
15/2/2020,1.34
16/2/2020,1.34
17/2/2020,1.30
18/2/2020,1.27
19/2/2020,1.07
20/2/2020,1.07
21/2/2020,1.08
22/2/2020,1.24
23/2/2020,1.05
24/2/2020,1.08
25/2/2020,1.11
26/2/2020,1.13
27/2/2020,1.17
28/2/2020,1.17
29/2/2020,1.24
1/3/2020,1.29
2/3/2020,1.23
3/3/2020,1.30
4/3/2020,1.26
5/3/2020,1.31
6/3/2020,1.43
7/3/2020,1.43
8/3/2020,1.40
9/3/2020,1.37
10/3/2020,1.48
11/3/2020,1.68
12/3/2020,1.65
13/3/2020,2.05
14/3/2020,1.85
15/3/2020,1.92
16/3/2020,1.88
17/3/2020,1.99
18/3/2020,2.05
19/3/2020,2.58
20/3/2020,2.48
21/3/2020,2.44
22/3/2020,2.27
23/3/2020,2.49
24/3/2020,2.25
25/3/2020,2.44
26/3/2020,2.63
27/3/2020,2.46
28/3/2020,2.36
29/3/2020,2.05
30/3/2020,2.00
31/3/2020,2.13
1/4/2020,2.01
2/4/2020,2.00
3/4/2020,1.93
4/4/2020,1.83
5/4/2020,1.70
6/4/2020,1.64
7/4/2020,1.63
8/4/2020,1.67
9/4/2020,1.64
10/4/2020,1.66
11/4/2020,1.51
12/4/2020,1.46
13/4/2020,1.58
14/4/2020,1.40
15/4/2020,1.44
16/4/2020,1.51
17/4/2020,1.44
18/4/2020,1.37
19/4/2020,1.37
20/4/2020,1.31
21/4/2020,1.33
22/4/2020,1.31
23/4/2020,1.34
24/4/2020,1.34
25/4/2020,1.32
26/4/2020,1.27
27/4/2020,1.24
28/4/2020,1.25
29/4/2020,1.25
30/4/2020,1.28
1/5/2020,1.29
2/5/2020,1.26
3/5/2020,1.24
4/5/2020,1.23
5/5/2020,1.23
6/5/2020,1.27
7/5/2020,1.25
8/5/2020,1.25
9/5/2020,1.23
10/5/2020,1.20
11/5/2020,1.19
12/5/2020,1.21
13/5/2020,1.21
14/5/2020,1.23
15/5/2020,1.24
16/5/2020,1.21
17/5/2020,1.18
18/5/2020,1.19
19/5/2020,1.21
20/5/2020,0.11
21/5/2020,1.22
22/5/2020,0.02
23/5/2020,0.02
24/5/2020,0.02
25/5/2020,0.02